Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C7,100pF,SMD-0805,1,~,5c70984712875079b91f8b3b
2,Unpolarized capacitor,C,C6,1uF,SMD-0805,1,~,5c70984712875079b91f8b6f
3,,CP-Device,C4,-,TantalC_SizeD_Reflow,1,,
4,Unpolarized capacitor,C,C1C5,1uF/50V,SMD-0805,2,~,5c70984712875079b91f8b6f
5,,CP-Device,C3,KM 470U/63V,CP_Radial_D12.5mm_P5.00mm,1,,5c70984412875079b91f886f
6,Diode,D,D2,"BYQ28ED-200,118",BYQ28ED-200,1,~,5c7272001287500b4e112fd9
7,,HEADER_1x02-MLAB_HEADER,J2,HEADER_1x02,Straight_1x02,1,,
8,,HEADER_2x01_PARALLEL-MLAB_HEADER,J3,HEADER_2x01_PARALLEL,Straight_1x02,1,,
9,,_-MLAB_Jumpers,P2,WAGO256-BLUE,WAGO256,1,,
10,,_-MLAB_Jumpers,P1P3P4,WAGO256-RED,WAGO256,3,,
11,"N-MOSFET transistor, gate/drain/source",Q_NMOS_GDS,Q1,IRFR3806-SMD,TO-252-2,1,~,5c70984712875079b91f8aed
12,Resistor,R,R5,0R01,SMD-2512,1,~,5c70984712875079b91f8abf
13,Resistor,R,R6,1k,SMD-0805,1,~,5c70984512875079b91f898c
14,Resistor,R,R1,1k5,SMD-0805,1,~,5c70984512875079b91f898e
15,Resistor,R,R4,165k,SMD-0805,1,~,5c70984712875079b91f8a9b
16,Resistor,R,R3,330k,SMD-0805,1,~,5c70984712875079b91f8aa1
17,Resistor,R,R2,2M,SMD-0805,1,~,5c70984712875079b91f8aac
18,,DRV110APWR-MLAB_IO,U1,DRV110APWR,TSSOP-14_4.4x5mm_P0.65mm,1,,5c72713b1287500b4e112fbc
