Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/50V","SMD-0805",27.3050,33.6550,-90.0000,bottom
"C3","470uF/63V","CP_Radial_D12.5mm_P5.00mm",8.2550,26.0350,0.0000,top
"C4","-","TantalC_SizeD_Reflow",4.4450,15.2400,-90.0000,bottom
"C5","1uF/50V","SMD-0805",17.4625,14.6050,90.0000,bottom
"C6","1uF","SMD-0805",18.4150,38.1000,90.0000,bottom
"C7","100pF","SMD-0805",27.3050,29.2100,-90.0000,bottom
"D2","BYQ28ED-200,118","BYQ28ED-200",12.8950,20.9550,180.0000,bottom
"J2","HEADER_1x02","Straight_1x02",12.7000,36.1950,0.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_1x02",15.2400,36.1950,0.0000,top
"M1","HOLE","MountingHole_3mm",35.5600,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",35.5600,35.5600,0.0000,top
"M3","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"P1","WAGO256-RED","WAGO256",12.7000,7.6200,90.0000,top
"P2","WAGO256-BLUE","WAGO256",27.9400,7.6200,90.0000,top
"P3","WAGO256-RED","WAGO256",17.7800,7.6200,90.0000,top
"P4","WAGO256-RED","WAGO256",22.8600,7.6200,90.0000,top
"Q1","IRFR3806-SMD","TO-252-2",22.8600,19.0500,-90.0000,bottom
"R1","1k5","SMD-0805",27.3050,37.4650,-90.0000,bottom
"R2","2M","SMD-0805",20.3200,38.1000,90.0000,bottom
"R3","330k","SMD-0805",22.2250,38.1000,90.0000,bottom
"R4","165k","SMD-0805",24.1300,38.1000,90.0000,bottom
"R5","0R01","SMD-2512",29.2100,17.7800,-90.0000,bottom
"R6","1k","SMD-0805",24.4475,26.3525,180.0000,bottom
"U1","DRV110APWR","TSSOP-14_4.4x5mm_P0.65mm",22.2250,31.7500,-90.0000,bottom
